Sample,Temperature_Treatment,Nutrient_Treatment,Microbiome_Treatment,Density_SceA,Density_CoeM,Density_SelC,Density_MonM,Density_ChlS,Total_Density
59,Elevated,MS,Medium,833.33,48333.33,555.56,2500,3055.56,55277.78
60,Elevated,MS,Medium,20277.78,25833.33,2777.78,38055.56,4722.22,91666.67
61,Ambient,EU,Medium,46388.89,47777.78,4444.44,151851.85,3611.11,254074.07
62,Ambient,EU,Medium,43333.33,39166.67,2222.22,191111.11,3055.56,278888.89
63,Ambient,EU,Medium,53611.11,32777.78,833.33,213157.89,3333.33,303713.45
64,Ambient,EU,Medium,50555.56,42500,3055.56,189545.45,2500,288156.57
65,Ambient,EU,Medium,61666.67,47222.22,4722.22,216315.79,5000,334926.9
66,Elevated,EU,Medium,31388.89,31388.89,277.78,58888.89,833.33,122777.78
67,Elevated,EU,Medium,33333.33,28611.11,1111.11,49722.22,277.78,113055.56
68,Elevated,EU,Medium,40277.78,32222.22,1944.44,107777.78,555.56,182777.78
69,Elevated,EU,Medium,53055.56,49166.67,1388.89,108333.33,2777.78,214722.22
70,Elevated,EU,Medium,43888.89,53055.56,1388.89,37777.78,833.33,136944.44
71,Ambient,HE,Medium,297857.14,33333.33,14444.44,688333.33,555.56,1034523.81
72,Ambient,HE,Medium,382500,48333.33,10555.56,763333.33,833.33,1205555.56
73,Ambient,HE,Medium,261250,35277.78,15833.33,1084000,1388.89,1397750
74,Ambient,HE,Medium,278888.89,41111.11,6111.11,790000,1111.11,1117222.22
75,Ambient,HE,Medium,413000,64722.22,13888.89,1010000,1944.44,1503555.56
76,Elevated,HE,Medium,254444.44,113888.89,833.33,19444.44,1111.11,389722.22
77,Elevated,HE,Medium,157037.04,92777.78,0,15833.33,277.78,265925.93
78,Elevated,HE,Medium,46944.44,247222.22,0,22500,1111.11,317777.78
79,Elevated,HE,Medium,248333.33,37222.22,6111.11,71388.89,277.78,363333.33
80,Elevated,HE,Medium,134166.67,67500,1388.89,121944.44,1944.44,326944.44
