resampled_Sample_names,resampled_D0,resampled_D1,resampled_D2,resampled_sd.D0,resampled_sd.D1,resampled_sd.D2,Sample Replicate,Run Replicate,Sample,ID within run,Temperature_Treatment,Nutrient_Treatment,Microbiome_Treatment,Density_SceA,Density_CoeM,Density_SelC,Density_MonM,Density_ChlS,Total_Density,x_label,bacterial_counts,bead_counts,dilution_factor
NR3_r1_S93_022.fcs,13899.7,3896.68992918268,2639.99419781858,251.103807661736,71.8657235076556,43.1085854296922,NR3,r1,93,022.fcs,Ambient,MS,High,31944.44,17777.78,10000,68333.33,2500,130555.56,MS-Ambient,3422,3645,10
NR3_r1_S98_023.fcs,14144.7,4665.13438025897,3268.26354704462,220.491395649707,46.3401213342178,44.3460125538858,NR3,r1,98,023.fcs,Elevated,MS,High,18611.11,19166.67,555.56,51388.89,2777.78,92500,MS-Elevated,4588,3687,10
NR4_r1_s104_048.fcs,9884.1,1980.30955604237,1179.10311149474,122.547451127218,31.4771200017851,21.6969813480171,NR4,r1,104,048.fcs,Ambient,EU,High,60277.78,23055.56,16666.67,187222.22,1666.67,288888.89,EU-Ambient,6527,826,10
NR4_r1_s109_049.fcs,9858.3,1902.06721390655,1189.31524378928,163.865154590257,26.2254803267406,11.1063334871215,NR4,r1,109,049.fcs,Elevated,EU,High,7222.22,122222.22,0,3055.56,277.78,132777.78,EU-Elevated,8173,1181,10
NR4_r1_s114_050.fcs,10664.5,2501.42494980663,1541.98874463618,139.007793546501,30.5830247520326,24.0500201888606,NR4,r1,114,050.fcs,Ambient,HE,High,472222.22,51666.67,7500,686666.67,3055.56,1221111.11,HE-Ambient,3868,576,10
NR4_r1_s119_051.fcs,14623.2,4491.16815606461,2833.90202858311,482.348145361142,85.8428016342818,77.0551449830472,NR4,r1,119,051.fcs,Elevated,HE,High,150000,18055.56,277.78,30000,555.56,198888.89,HE-Elevated,2425,3655,10
NR4_r1_s14_030.fcs,11720.9,2894.93523653713,2017.74906262376,193.071345477376,45.5947980751061,28.9924207588106,NR4,r1,14,030.fcs,Ambient,MS,Low,44722.22,45000,21944.44,131944.44,38055.56,281666.67,MS-Ambient,5877,1380,10
NR4_r1_s19_031.fcs,12188.5,2861.52657977855,1914.50444302792,216.935346231186,14.9010098157342,17.3578666862232,NR4,r1,19,031.fcs,Elevated,MS,Low,20277.78,58055.56,8055.56,66388.89,7222.22,160000,MS-Elevated,7342,1038,10
NR4_r1_s24_032.fcs,11247.5,2151.99851036383,1264.1736375925,290.488955613347,32.803671667577,19.9391612408148,NR4,r1,24,032.fcs,Ambient,EU,Low,71111.11,55555.56,12500,266666.67,4722.22,410555.56,EU-Ambient,6566,560,10
NR4_r1_s29_033.fcs,6485.5,1160.88347056852,809.731012252441,189.211962271593,12.2178583905855,10.725910853883,NR4,r1,29,033.fcs,Elevated,EU,Low,20277.78,78888.89,0,6944.44,4166.67,110277.78,EU-Elevated,9746,97,10
